 "topic_name" ,
 "Full-text search" ,
 "Refinitiv" ,
 "Amazon Alexa" ,
 "Dublin Core" ,
 "formal language" ,
 "Google Assistant" ,
 "POWER7" ,
 "Entity Linking" ,
 "Microsoft Tay" ,
 "Chatbot" ,
 "SPARQL" ,
 "Gene Ontology" ,
 "UIMA" ,
 "FOAF" ,
 "ELIZA" ,
 "Turing Test" ,
 "Linked Open Data" ,
 "Named Entity Recognition" ,
 "data structure" ,
 "Microsoft Cortana" ,
 "query language" ,
 "DBpedia" ,
 "Weizenbaum" ,
 "Resource Description Framework (RDF)" ,
 "Lucene" ,
 "Solr" ,
 "Natural Language Processing (NLP)" ,
 "Semantic Web" ,
 "Gartner" ,
