 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "miroirs" , "https://dbpedia.org/resource/Miroirs" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "RDFS" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "The Glass Palace" , "https://dbpedia.org/resource/The_Glass_Palace" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "W3C Recommendation" , "https://dbpedia.org/resource/World_Wide_Web_Consortium" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Manning Publications" , "https://dbpedia.org/resource/Manning_Publications" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Dublin Core" , "https://dbpedia.org/resource/Dublin_Core" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "RDF Schema" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "World Wide Web Consortium (W3C)" , "https://dbpedia.org/resource/World_Wide_Web_Consortium" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Dewey Decimal Classification" , "https://dbpedia.org/resource/Dewey_Decimal_Classification" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Schema.org" , "http://dbpedia.org/resource/Schema.org" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Linked Data" , "https://dbpedia.org/resource/Linked_data" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Uniform Resource Locator" , "https://dbpedia.org/resource/URL" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "SPARQL" , "https://dbpedia.org/resource/SPARQL" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Web 2.0" , "http://dbpedia.org/resource/Web_2.0" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "FOAF" , "http://dbpedia.org/resource/FOAF_(ontology)" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Internationalized Resource Identifier" , "https://dbpedia.org/resource/Internationalized_Resource_Identifier" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Harper Collins" , "https://dbpedia.org/resource/HarperCollins" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "ghostwriter" , "https://dbpedia.org/resource/Ghostwriter" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "RDF/XML" , "https://dbpedia.org/resource/XML" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "rdfs" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "Metafiction" , "https://dbpedia.org/resource/Metafiction" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
