,Course ID,Subject,Catalog,Long Title,Component Code,Description
0,26,ACCO,220,Financial and Managerial Accounting,LEC,
1,27,ACCO,230,Introduction to Financial Accounting,LEC,
2,28,ACCO,240,Introduction to Managerial Accounting,LEC,
3,35,ACCO,310,Financial Reporting I,LEC,
4,43,ACCO,320,Financial Reporting II,LEC,
5,53,ACCO,330,Cost and Management Accounting,LEC,
6,55,ACCO,340,Income Taxation in Canada,LEC,
7,57,ACCO,350,Accounting and Information Technology,LEC,
8,58,ACCO,355,Analysis of Financial Statements,LEC,
9,59,ACCO,365,U.S. Federal Taxation,LEC,
10,60,ACCO,400,Accounting Theory,LEC,
11,86,ACCO,420,Financial Reporting III,LEC,
12,89,ACCO,425,FINANCIAL REPORTING IV,LEC,
13,92,ACCO,430,Advanced Management Accounting,LEC,
14,97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,LEC,
15,98,ACCO,440,Advanced Taxation,LEC,
16,104,ACCO,450,Assurance Services,LEC,
17,106,ACCO,455,Fraud Prevention and Investigation,LEC,
18,109,ACCO,465,Advanced Assurance Services,LEC,
19,173,ACCO,631,BUSINESS ADVISORY SERVICES,LEC,
20,174,ACCO,635,INTEGRATED APPROACH TO AUDIT,LEC,
21,178,ACCO,651,FINANCIAL REPORTING:COMP APP,LEC,
22,182,ACCO,672,MANAGEMENT ACCOUNTING II,LEC,
23,185,ACCO,681,FINAN L ACCO G/REPORT G III,LEC,
24,186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,LEC,
25,187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,LEC,
26,189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,LEC,
27,190,ACCO,691,BUSINESS VALUATIONS,LEC,
28,191,ACCO,695,SEMINAR IN SPECIAL TOPICS,LEC,
29,40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,LEC,
30,40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,LEC,
31,43001,ACCO,650,FINA REPORTING IN PRACTICE,LEC,
33,44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,LEC,
34,44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,LEC,
