,Course ID,Subject,Catalog,Long Title,Component Code,Description,University
0,26,ACCO,220,Financial and Managerial Accounting,LEC,,ex:Concordia_University
1,27,ACCO,230,Introduction to Financial Accounting,LEC,,ex:Concordia_University
2,28,ACCO,240,Introduction to Managerial Accounting,LEC,,ex:Concordia_University
3,35,ACCO,310,Financial Reporting I,LEC,,ex:Concordia_University
4,43,ACCO,320,Financial Reporting II,LEC,,ex:Concordia_University
5,53,ACCO,330,Cost and Management Accounting,LEC,,ex:Concordia_University
6,55,ACCO,340,Income Taxation in Canada,LEC,,ex:Concordia_University
7,57,ACCO,350,Accounting and Information Technology,LEC,,ex:Concordia_University
8,58,ACCO,355,Analysis of Financial Statements,LEC,,ex:Concordia_University
9,59,ACCO,365,U.S. Federal Taxation,LEC,,ex:Concordia_University
10,60,ACCO,400,Accounting Theory,LEC,,ex:Concordia_University
11,86,ACCO,420,Financial Reporting III,LEC,,ex:Concordia_University
12,89,ACCO,425,FINANCIAL REPORTING IV,LEC,,ex:Concordia_University
13,92,ACCO,430,Advanced Management Accounting,LEC,,ex:Concordia_University
14,97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,LEC,,ex:Concordia_University
15,98,ACCO,440,Advanced Taxation,LEC,,ex:Concordia_University
16,104,ACCO,450,Assurance Services,LEC,,ex:Concordia_University
17,106,ACCO,455,Fraud Prevention and Investigation,LEC,,ex:Concordia_University
18,109,ACCO,465,Advanced Assurance Services,LEC,,ex:Concordia_University
19,173,ACCO,631,BUSINESS ADVISORY SERVICES,LEC,,ex:Concordia_University
20,174,ACCO,635,INTEGRATED APPROACH TO AUDIT,LEC,,ex:Concordia_University
21,178,ACCO,651,FINANCIAL REPORTING:COMP APP,LEC,,ex:Concordia_University
22,182,ACCO,672,MANAGEMENT ACCOUNTING II,LEC,,ex:Concordia_University
23,185,ACCO,681,FINAN L ACCO G/REPORT G III,LEC,,ex:Concordia_University
24,186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,LEC,,ex:Concordia_University
25,187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,LEC,,ex:Concordia_University
26,189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,LEC,,ex:Concordia_University
27,190,ACCO,691,BUSINESS VALUATIONS,LEC,,ex:Concordia_University
28,191,ACCO,695,SEMINAR IN SPECIAL TOPICS,LEC,,ex:Concordia_University
29,40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,LEC,,ex:Concordia_University
30,40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,LEC,,ex:Concordia_University
31,43001,ACCO,650,FINA REPORTING IN PRACTICE,LEC,,ex:Concordia_University
34,44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,LEC,,ex:Concordia_University
35,44003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,LEC,,ex:Concordia_University
36,44004,ACCO,653,INFO SYS/INTERNAL CONTROL,LEC,,ex:Concordia_University
37,45085,ACCO,652,BUSINESS ADVISORY SERVICES,LEC,,ex:Concordia_University
38,45114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,LEC,,ex:Concordia_University
39,45884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,LEC,,ex:Concordia_University
40,45885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,LEC,,ex:Concordia_University
41,46442,ACCO,471,ACCOUNTING SEMINAR,LEC,,ex:Concordia_University
42,46443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,LEC,,ex:Concordia_University
43,46444,ACCO,595,SPECIAL TOPICS IN ACCO,LEC,,ex:Concordia_University
44,47353,ACCO,655,Taxation and Decision-Making,LEC,,ex:Concordia_University
45,47354,ACCO,655T,Tutorial in Taxation/Decision making,LEC,,ex:Concordia_University
46,47360,ACCO,658,Capstone I Seminar,LEC,,ex:Concordia_University
47,47361,ACCO,658T,Tutorial in Capstone I Seminar,LEC,,ex:Concordia_University
48,47363,ACCO,659,Capstone II Examination Preparation,LEC,,ex:Concordia_University
49,47364,ACCO,659T,Tutorial in Capstone II Examination,LEC,,ex:Concordia_University
50,47367,ACCO,654,Assurance and Professional Practice,LEC,,ex:Concordia_University
51,47368,ACCO,654T,Tutorial in Assurance and Professional Practice,LEC,,ex:Concordia_University
52,47369,ACCO,656,Performance Management,LEC,,ex:Concordia_University
53,47370,ACCO,656T,Tutorial in Performance Management,LEC,,ex:Concordia_University
54,47371,ACCO,657,Financial Strategies and Decisions,LEC,,ex:Concordia_University
55,47372,ACCO,657T,Tutorial in Financial Strategies and Decisions,LEC,,ex:Concordia_University
56,48073,ACCO,692,Managing After-Tax Returns,LEC,,ex:Concordia_University
57,48544,ACCO,360,Principles of Auditing,LEC,,ex:Concordia_University
58,48619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,LEC,,ex:Concordia_University
60,48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,LEC,,ex:Concordia_University
61,48817,ACCO,601,TUTORIAL IN FINA REP/COM APP,LEC,,ex:Concordia_University
63,48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,LEC,,ex:Concordia_University
64,48825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,LEC,,ex:Concordia_University
65,48826,ACCO,604,Tutorial in Assurance and Professional Practice,LEC,,ex:Concordia_University
66,48827,ACCO,605,Tutorial in Taxation/Decision making,LEC,,ex:Concordia_University
67,48828,ACCO,606,Tutorial in Performance Management,LEC,,ex:Concordia_University
68,48829,ACCO,607,Tutorial in Financial Strategies and Decisions,LEC,,ex:Concordia_University
69,48830,ACCO,608,Tutorial in Capstone I Seminar,LEC,,ex:Concordia_University
70,48831,ACCO,609,Tutorial in Capstone II Examination,LEC,,ex:Concordia_University
131,235,ACTU,256,Mathematics of Finance,LEC,,ex:Concordia_University
132,236,ACTU,257,Actuarial Mathematics I,LEC,,ex:Concordia_University
133,237,ACTU,286,Actuarial Mathematics Lab I,LEC,,ex:Concordia_University
135,238,ACTU,357,Actuarial Mathematics II,LEC,,ex:Concordia_University
137,239,ACTU,386,Actuarial Mathematics Lab II,LEC,,ex:Concordia_University
138,241,ACTU,457,Risk Theory,LEC,,ex:Concordia_University
139,242,ACTU,458,Credibility Theory,LEC,,ex:Concordia_University
140,243,ACTU,459,Loss Distributions,LEC,,ex:Concordia_University
141,244,ACTU,486,Actuarial Mathematics Lab III,LEC,,ex:Concordia_University
142,245,ACTU,493,Honours Project in Actuarial Mathematics,LEC,,ex:Concordia_University
143,46445,ACTU,491,TOPICS/ACTUARIAL MATHEMATICS,LEC,,ex:Concordia_University
144,46446,ACTU,492,RDG CRS/ACTUARIAL MATHEMAT S,LEC,,ex:Concordia_University
145,246,ADED,201,Concepts and Principles of Adult Education,LEC,,ex:Concordia_University
146,247,ADED,202,The Scope and Nature of Adult Education Programs,LEC,,ex:Concordia_University
147,248,ADED,220,Adults as Learners,LEC,,ex:Concordia_University
148,253,ADED,344,Design of Adult Learning Projects,LEC,,ex:Concordia_University
149,254,ADED,345,Evaluating Adult Learning Projects,LEC,,ex:Concordia_University
151,257,ADED,403,Diversity in Adults,LEC,,ex:Concordia_University
152,260,ADED,440,ISSUES IN THE PRACTICE,LEC,,ex:Concordia_University
153,273,ADED,496,Integrative Internship I,LEC,,ex:Concordia_University
154,274,ADED,497,Integrative Internship II,LEC,,ex:Concordia_University
155,277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,LEC,,ex:Concordia_University
156,46447,ADED,489,SPEC TOPICS  IN ADULT EDUC,LEC,,ex:Concordia_University
157,46448,ADED,492,SPECIAL TOPICS SEM IN ADED I,LEC,,ex:Concordia_University
158,46449,ADED,494,SPECIAL TOPIC SEM IN ADED II,LEC,,ex:Concordia_University
159,46450,ADED,498,ADVANCED TOPICS IN ADED,LEC,,ex:Concordia_University
160,316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,LEC,,ex:Concordia_University
161,317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,LEC,,ex:Concordia_University
162,318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,LEC,,ex:Concordia_University
163,319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,LEC,,ex:Concordia_University
164,320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,LEC,,ex:Concordia_University
165,323,ADIP,520,ADULTS AS LEARNERS,LEC,,ex:Concordia_University
166,325,ADIP,533,FACILITATING ADULT LEARNING,LEC,,ex:Concordia_University
167,326,ADIP,540,INTRODUCTION TO RESEARCH,LEC,,ex:Concordia_University
